Model,RMSD,MCQ,DI,P-VALUE,εRMSD,INF-ALL,TM-score,lDDT,GDT-TS,CAD
MC-Sym,16.318,36.53,32.6235,0.39715822095464,2.004,0.499,0.192,0.007,0.335,0.6120000000000001
Vfold3D,22.032285714285713,33.236666666666665,39.35,0.11439772233806858,1.578166666666667,0.5367500000000001,0.296,0.006125,0.23375,0.608125
RNAComposer,29.8418,25.983333333333334,43.1808,0.30068086607810607,1.3525555555555555,0.6539090909090909,0.2510909090909091,0.5163636363636364,0.19190909090909092,0.6534545454545454
3dRNA,16.277142857142856,33.824999999999996,26.158285714285714,0.0008358691115348602,1.5021666666666667,0.589625,0.29212499999999997,0.45987500000000003,0.272125,0.609625
IsRNA1,21.579,25.656666666666666,32.49342857142857,0.08411724761352556,1.4573333333333334,0.62425,0.246,0.418875,0.241125,0.618
RhoFold,19.203444444444443,61.79625,55.61277777777778,2.3455465904449482e-05,2.258375,0.4304,0.2528,0.2023,0.2373,0.5569
trRosettaRNA,22.417181818181817,35.878,41.752272727272725,0.008397544933865258,1.5938,0.5196666666666666,0.27091666666666664,0.48933333333333334,0.22866666666666666,0.669
Vfold-Pipeline,22.922714285714285,29.825,38.28228571428571,0.23848482072691007,1.4623333333333335,0.5695,0.283625,0.47275,0.243875,0.602125
RNAJP,23.551,25.304000000000002,32.90533333333334,0.2319334761588453,1.2604,0.684142857142857,0.28385714285714286,0.038714285714285715,0.25614285714285717,0.6272857142857143
